1663195488.186179 Connecting to host 192.168.3.1, port 5101
1663195488.186352 [  4] local 192.168.10.2 port 57436 connected to 192.168.3.1 port 5101
1663195488.186387 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663195488.186411 [  4]   0.00-0.10   sec   230 KBytes  18.8 Mbits/sec    0   14.1 KBytes       
1663195488.186433 [  4]   0.10-0.20   sec   215 KBytes  17.6 Mbits/sec    0   14.1 KBytes       
1663195488.186458 [  4]   0.20-0.30   sec   859 KBytes  70.3 Mbits/sec    0   14.1 KBytes       
1663195488.186483 [  4]   0.30-0.40   sec  1.08 MBytes  90.5 Mbits/sec    0   14.1 KBytes       
1663195488.186507 [  4]   0.40-0.50   sec   736 KBytes  60.2 Mbits/sec    0   14.1 KBytes       
1663195488.186531 [  4]   0.50-0.60   sec   706 KBytes  57.8 Mbits/sec    0   14.1 KBytes       
1663195488.186555 [  4]   0.60-0.70   sec   153 KBytes  12.6 Mbits/sec    0   14.1 KBytes       
1663195488.186579 [  4]   0.70-0.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195488.186603 [  4]   0.80-0.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.186627 [  4]   0.90-1.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195488.186652 [  4]   1.00-1.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195488.186676 [  4]   1.10-1.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.186701 [  4]   1.20-1.30   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663195488.186725 [  4]   1.30-1.40   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.186750 [  4]   1.40-1.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.186773 [  4]   1.50-1.60   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663195488.186797 [  4]   1.60-1.70   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.186822 [  4]   1.70-1.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195488.186847 [  4]   1.80-1.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195488.186871 [  4]   1.90-2.00   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.186895 [  4]   2.00-2.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195488.186920 [  4]   2.10-2.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195488.186944 [  4]   2.20-2.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.186969 [  4]   2.30-2.40   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663195488.186993 [  4]   2.40-2.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187018 [  4]   2.50-2.60   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187043 [  4]   2.60-2.70   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663195488.187067 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187091 [  4]   2.80-2.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187117 [  4]   2.90-3.00   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663195488.187141 [  4]   3.00-3.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187166 [  4]   3.10-3.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187192 [  4]   3.20-3.30   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663195488.187216 [  4]   3.30-3.40   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187241 [  4]   3.40-3.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195488.187265 [  4]   3.50-3.60   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663195488.187289 [  4]   3.60-3.70   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
