1663197168.170102 Connecting to host 192.168.3.1, port 5101
1663197168.170272 [  4] local 192.168.10.2 port 58388 connected to 192.168.3.1 port 5101
1663197168.170307 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663197168.170330 [  4]   0.00-0.10   sec   197 KBytes  16.1 Mbits/sec    0   14.1 KBytes       
1663197168.170351 [  4]   0.10-0.20   sec   245 KBytes  20.1 Mbits/sec    0   14.1 KBytes       
1663197168.170378 [  4]   0.20-0.30   sec   276 KBytes  22.6 Mbits/sec    0   14.1 KBytes       
1663197168.170401 [  4]   0.30-0.40   sec   491 KBytes  40.2 Mbits/sec    0   14.1 KBytes       
1663197168.170424 [  4]   0.40-0.50   sec   215 KBytes  17.6 Mbits/sec    0   14.1 KBytes       
1663197168.170447 [  4]   0.50-0.60   sec   798 KBytes  65.4 Mbits/sec    0   14.1 KBytes       
1663197168.170470 [  4]   0.60-0.70   sec   583 KBytes  47.7 Mbits/sec    0   14.1 KBytes       
1663197168.170492 [  4]   0.70-0.80   sec   184 KBytes  15.1 Mbits/sec    0   14.1 KBytes       
1663197168.170515 [  4]   0.80-0.90   sec   123 KBytes  10.1 Mbits/sec    0   14.1 KBytes       
1663197168.170538 [  4]   0.90-1.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170560 [  4]   1.00-1.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.170583 [  4]   1.10-1.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170605 [  4]   1.20-1.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.170628 [  4]   1.30-1.40   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170651 [  4]   1.40-1.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.170673 [  4]   1.50-1.60   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170696 [  4]   1.60-1.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170719 [  4]   1.70-1.80   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.170742 [  4]   1.80-1.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170765 [  4]   1.90-2.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170787 [  4]   2.00-2.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.170810 [  4]   2.10-2.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170834 [  4]   2.20-2.30   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170856 [  4]   2.30-2.40   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.170879 [  4]   2.40-2.50   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170902 [  4]   2.50-2.60   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170925 [  4]   2.60-2.70   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.170947 [  4]   2.70-2.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170971 [  4]   2.80-2.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197168.170994 [  4]   2.90-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171018 [  4]   3.00-3.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171041 [  4]   3.10-3.20   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663197168.171064 [  4]   3.20-3.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171088 [  4]   3.30-3.40   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171111 [  4]   3.40-3.50   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663197168.171134 [  4]   3.50-3.60   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171157 [  4]   3.60-3.70   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171179 [  4]   3.70-3.80   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663197168.171202 [  4]   3.80-3.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171225 [  4]   3.90-4.00   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197168.171248 [  4]   4.00-4.10   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663197168.171269 [  4]   4.10-4.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
