1663196412.170312 Connecting to host 192.168.3.1, port 5101
1663196412.170486 [  4] local 192.168.10.2 port 57958 connected to 192.168.3.1 port 5101
1663196412.170521 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663196412.170544 [  4]   0.00-0.10   sec   689 KBytes  56.3 Mbits/sec    0   5.66 KBytes       
1663196412.170566 [  4]   0.10-0.20   sec  1.23 MBytes   103 Mbits/sec    0   5.66 KBytes       
1663196412.170592 [  4]   0.20-0.30   sec   216 KBytes  17.7 Mbits/sec    0   5.66 KBytes       
1663196412.170617 [  4]   0.30-0.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170641 [  4]   0.40-0.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196412.170665 [  4]   0.50-0.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170689 [  4]   0.60-0.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170713 [  4]   0.70-0.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170737 [  4]   0.80-0.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170761 [  4]   0.90-1.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196412.170785 [  4]   1.00-1.10   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663196412.170810 [  4]   1.10-1.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196412.170834 [  4]   1.20-1.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170858 [  4]   1.30-1.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170882 [  4]   1.40-1.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170906 [  4]   1.50-1.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170930 [  4]   1.60-1.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663196412.170954 [  4]   1.70-1.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
