1663194732.234216 Connecting to host 192.168.3.1, port 5101
1663194732.234383 [  4] local 192.168.10.2 port 57006 connected to 192.168.3.1 port 5101
1663194732.234418 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663194732.234440 [  4]   0.00-0.10   sec   689 KBytes  56.3 Mbits/sec    0   5.66 KBytes       
1663194732.234461 [  4]   0.10-0.20   sec  1.20 MBytes   100 Mbits/sec    0   5.66 KBytes       
1663194732.234481 [  4]   0.20-0.30   sec   123 KBytes  10.1 Mbits/sec    0   5.66 KBytes       
1663194732.234505 [  4]   0.30-0.40   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234528 [  4]   0.40-0.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.234551 [  4]   0.50-0.60   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234574 [  4]   0.60-0.70   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234597 [  4]   0.70-0.80   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234619 [  4]   0.80-0.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.234642 [  4]   0.90-1.00   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234664 [  4]   1.00-1.10   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234687 [  4]   1.10-1.20   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234710 [  4]   1.20-1.30   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234732 [  4]   1.30-1.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.234755 [  4]   1.40-1.50   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234778 [  4]   1.50-1.60   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663194732.234800 [  4]   1.60-1.70   sec  15.3 KBytes  1.26 Mbits/sec    0   5.66 KBytes       
1663194732.234823 [  4]   1.70-1.80   sec  16.7 KBytes  1.37 Mbits/sec    0   5.66 KBytes       
1663194732.234845 [  4]   1.80-1.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.234868 [  4]   1.90-2.00   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663194732.234890 [  4]   2.00-2.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.234913 [  4]   2.10-2.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.234935 [  4]   2.20-2.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.234958 [  4]   2.30-2.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.234980 [  4]   2.40-2.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235003 [  4]   2.50-2.60   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663194732.235026 [  4]   2.60-2.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235048 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235071 [  4]   2.80-2.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.235093 [  4]   2.90-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235116 [  4]   3.00-3.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.235138 [  4]   3.10-3.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235161 [  4]   3.20-3.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235183 [  4]   3.30-3.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.235206 [  4]   3.40-3.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235228 [  4]   3.50-3.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235251 [  4]   3.60-3.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.235273 [  4]   3.70-3.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235296 [  4]   3.80-3.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235319 [  4]   3.90-4.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235341 [  4]   4.00-4.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235364 [  4]   4.10-4.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.235385 [  4]   4.20-4.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235407 [  4]   4.30-4.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235430 [  4]   4.40-4.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194732.235452 [  4]   4.50-4.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235475 [  4]   4.60-4.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235498 [  4]   4.70-4.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194732.235520 [  4]   4.80-4.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194737.714122 [  4]   4.90-5.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714192 [  4]   5.00-5.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714220 [  4]   5.10-5.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714241 [  4]   5.20-5.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194737.714264 [  4]   5.30-5.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714288 [  4]   5.40-5.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714310 [  4]   5.50-5.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194737.714333 [  4]   5.60-5.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714355 [  4]   5.70-5.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714378 [  4]   5.80-5.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663194737.714400 [  4]   5.90-6.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
