1663195908.198240 Connecting to host 192.168.3.1, port 5101
1663195908.198397 [  4] local 192.168.10.2 port 57678 connected to 192.168.3.1 port 5101
1663195908.198433 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663195908.198457 [  4]   0.00-0.10   sec   689 KBytes  56.3 Mbits/sec    0   5.66 KBytes       
1663195908.198480 [  4]   0.10-0.20   sec  1.21 MBytes   102 Mbits/sec    0   5.66 KBytes       
1663195908.198510 [  4]   0.20-0.30   sec   142 KBytes  11.7 Mbits/sec    0   5.66 KBytes       
1663195908.198535 [  4]   0.30-0.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198560 [  4]   0.40-0.50   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663195908.198585 [  4]   0.50-0.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.198611 [  4]   0.60-0.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198636 [  4]   0.70-0.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198661 [  4]   0.80-0.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198685 [  4]   0.90-1.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198710 [  4]   1.00-1.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198736 [  4]   1.10-1.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198760 [  4]   1.20-1.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198786 [  4]   1.30-1.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198811 [  4]   1.40-1.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198836 [  4]   1.50-1.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198861 [  4]   1.60-1.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.198885 [  4]   1.70-1.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198911 [  4]   1.80-1.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198936 [  4]   1.90-2.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198961 [  4]   2.00-2.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.198986 [  4]   2.10-2.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199012 [  4]   2.20-2.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199037 [  4]   2.30-2.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199063 [  4]   2.40-2.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199091 [  4]   2.50-2.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199116 [  4]   2.60-2.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199141 [  4]   2.70-2.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199165 [  4]   2.80-2.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199190 [  4]   2.90-3.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199214 [  4]   3.00-3.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199239 [  4]   3.10-3.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199263 [  4]   3.20-3.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199288 [  4]   3.30-3.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199312 [  4]   3.40-3.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199337 [  4]   3.50-3.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199361 [  4]   3.60-3.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199386 [  4]   3.70-3.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199410 [  4]   3.80-3.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195908.199434 [  4]   3.90-4.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199459 [  4]   4.00-4.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199482 [  4]   4.10-4.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195908.199504 [  4]   4.20-4.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
