1663197084.278067 Connecting to host 192.168.3.1, port 5101
1663197084.278220 [  4] local 192.168.10.2 port 58340 connected to 192.168.3.1 port 5101
1663197084.278256 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663197084.278280 [  4]   0.00-0.10   sec   689 KBytes  56.3 Mbits/sec    0   5.66 KBytes       
1663197084.278303 [  4]   0.10-0.20   sec  1.20 MBytes   100 Mbits/sec    0   5.66 KBytes       
1663197084.278328 [  4]   0.20-0.30   sec   153 KBytes  12.6 Mbits/sec    0   5.66 KBytes       
1663197084.278353 [  4]   0.30-0.40   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663197084.278378 [  4]   0.40-0.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278402 [  4]   0.50-0.60   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663197084.278427 [  4]   0.60-0.70   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663197084.278451 [  4]   0.70-0.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278475 [  4]   0.80-0.90   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663197084.278499 [  4]   0.90-1.00   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663197084.278523 [  4]   1.00-1.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278547 [  4]   1.10-1.20   sec  20.9 KBytes  1.71 Mbits/sec    0   5.66 KBytes       
1663197084.278571 [  4]   1.20-1.30   sec  11.2 KBytes  0.91 Mbits/sec    0   5.66 KBytes       
1663197084.278595 [  4]   1.30-1.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278620 [  4]   1.40-1.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278644 [  4]   1.50-1.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278668 [  4]   1.60-1.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278692 [  4]   1.70-1.80   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663197084.278715 [  4]   1.80-1.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278739 [  4]   1.90-2.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278763 [  4]   2.00-2.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278788 [  4]   2.10-2.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278811 [  4]   2.20-2.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278835 [  4]   2.30-2.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278860 [  4]   2.40-2.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278884 [  4]   2.50-2.60   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663197084.278908 [  4]   2.60-2.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278932 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.278955 [  4]   2.80-2.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.278980 [  4]   2.90-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279005 [  4]   3.00-3.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279029 [  4]   3.10-3.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.279053 [  4]   3.20-3.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279078 [  4]   3.30-3.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279102 [  4]   3.40-3.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279127 [  4]   3.50-3.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279151 [  4]   3.60-3.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.279175 [  4]   3.70-3.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279200 [  4]   3.80-3.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279224 [  4]   3.90-4.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663197084.279248 [  4]   4.00-4.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279272 [  4]   4.10-4.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663197084.279296 [  4]   4.20-4.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
