1663194228.202322 Connecting to host 192.168.3.1, port 5101
1663194228.202493 [  4] local 192.168.10.2 port 56718 connected to 192.168.3.1 port 5101
1663194228.202529 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663194228.202552 [  4]   0.00-0.10   sec   689 KBytes  56.3 Mbits/sec    0   5.66 KBytes       
1663194228.202574 [  4]   0.10-0.20   sec  1.25 MBytes   104 Mbits/sec    0   5.66 KBytes       
1663194228.202595 [  4]   0.20-0.30   sec   191 KBytes  15.7 Mbits/sec    0   5.66 KBytes       
1663194228.202620 [  4]   0.30-0.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202645 [  4]   0.40-0.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202669 [  4]   0.50-0.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202693 [  4]   0.60-0.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202717 [  4]   0.70-0.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202741 [  4]   0.80-0.90   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663194228.202766 [  4]   0.90-1.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202790 [  4]   1.00-1.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202813 [  4]   1.10-1.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202837 [  4]   1.20-1.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202862 [  4]   1.30-1.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202886 [  4]   1.40-1.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202910 [  4]   1.50-1.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202934 [  4]   1.60-1.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.202958 [  4]   1.70-1.80   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663194228.202982 [  4]   1.80-1.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663194228.203006 [  4]   1.90-2.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
