1663196202.154271 Connecting to host 192.168.3.1, port 5101
1663196202.154428 [  4] local 192.168.10.2 port 57842 connected to 192.168.3.1 port 5101
1663196202.154463 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663196202.154486 [  4]   0.00-0.10   sec   230 KBytes  18.8 Mbits/sec    0   14.1 KBytes       
1663196202.154506 [  4]   0.10-0.20   sec   215 KBytes  17.6 Mbits/sec    0   14.1 KBytes       
1663196202.154537 [  4]   0.20-0.30   sec   307 KBytes  25.1 Mbits/sec    0   14.1 KBytes       
1663196202.154560 [  4]   0.30-0.40   sec   460 KBytes  37.7 Mbits/sec    0   14.1 KBytes       
1663196202.154584 [  4]   0.40-0.50   sec   522 KBytes  42.6 Mbits/sec    0   14.1 KBytes       
1663196202.154607 [  4]   0.50-0.60   sec   337 KBytes  27.7 Mbits/sec    0   14.1 KBytes       
1663196202.154630 [  4]   0.60-0.70   sec   337 KBytes  27.6 Mbits/sec    0   14.1 KBytes       
1663196202.154653 [  4]   0.70-0.80   sec   736 KBytes  60.2 Mbits/sec    0   14.1 KBytes       
1663196202.154676 [  4]   0.80-0.90   sec  61.4 KBytes  5.04 Mbits/sec    0   14.1 KBytes       
1663196202.154700 [  4]   0.90-1.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663196202.154723 [  4]   1.00-1.10   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663196202.154745 [  4]   1.10-1.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.154768 [  4]   1.20-1.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.154791 [  4]   1.30-1.40   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663196202.154815 [  4]   1.40-1.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.154838 [  4]   1.50-1.60   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.154861 [  4]   1.60-1.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663196202.154884 [  4]   1.70-1.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663196202.154907 [  4]   1.80-1.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.154930 [  4]   1.90-2.00   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663196202.154953 [  4]   2.00-2.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.154977 [  4]   2.10-2.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.155000 [  4]   2.20-2.30   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663196202.155023 [  4]   2.30-2.40   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663196202.155046 [  4]   2.40-2.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
