1663196076.142127 Connecting to host 192.168.3.1, port 5101
1663196076.142284 [  4] local 192.168.10.2 port 57772 connected to 192.168.3.1 port 5101
1663196076.142321 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663196076.142344 [  4]   0.00-0.10   sec   689 KBytes  56.3 Mbits/sec    0   5.66 KBytes       
1663196076.142366 [  4]   0.10-0.20   sec  1.23 MBytes   103 Mbits/sec    0   5.66 KBytes       
1663196076.142390 [  4]   0.20-0.30   sec   123 KBytes  10.1 Mbits/sec    0   5.66 KBytes       
1663196076.142414 [  4]   0.30-0.40   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663196076.142438 [  4]   0.40-0.50   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663196076.142462 [  4]   0.50-0.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142485 [  4]   0.60-0.70   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663196076.142509 [  4]   0.70-0.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142533 [  4]   0.80-0.90   sec  61.4 KBytes  5.02 Mbits/sec    0   5.66 KBytes       
1663196076.142556 [  4]   0.90-1.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142579 [  4]   1.00-1.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142603 [  4]   1.10-1.20   sec  61.4 KBytes  5.02 Mbits/sec    0   5.66 KBytes       
1663196076.142626 [  4]   1.20-1.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142650 [  4]   1.30-1.40   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663196076.142675 [  4]   1.40-1.50   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663196076.142699 [  4]   1.50-1.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142723 [  4]   1.60-1.70   sec  61.4 KBytes  5.02 Mbits/sec    0   5.66 KBytes       
1663196076.142746 [  4]   1.70-1.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142770 [  4]   1.80-1.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142793 [  4]   1.90-2.00   sec  61.4 KBytes  5.02 Mbits/sec    0   5.66 KBytes       
1663196076.142817 [  4]   2.00-2.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142842 [  4]   2.10-2.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142867 [  4]   2.20-2.30   sec  61.4 KBytes  5.02 Mbits/sec    0   5.66 KBytes       
1663196076.142891 [  4]   2.30-2.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142915 [  4]   2.40-2.50   sec  61.4 KBytes  5.02 Mbits/sec    0   5.66 KBytes       
1663196076.142939 [  4]   2.50-2.60   sec  30.7 KBytes  2.51 Mbits/sec    0   5.66 KBytes       
1663196076.142962 [  4]   2.60-2.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.142986 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.143010 [  4]   2.80-2.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663196076.143033 [  4]   2.90-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
