1663194412.231326 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:50087 192.168.4.1:5102 users:(("iperf3",pid=3765,fd=4)) timer:(on,924ms,0) uid:20001 ino:12003322 sk:8547 1663194412.231398 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:585086532 lastrcv:585086532 lastack:585086532 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663194412.231462 tcp   ESTAB    0      57120           192.168.10.2:56826 192.168.3.1:5101 users:(("iperf3",pid=3761,fd=4)) timer:(on,068ms,0) uid:20001 ino:11950998 sk:8548 1663194412.231472 	 ts sack lia wscale:7,7 rto:232 rtt:30.865/0.658 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:40 bytes_sent:99997 bytes_acked:42878 segs_out:74 segs_in:18 data_segs_out:71 send 14805119bps lastsnd:4 lastrcv:116 lastack:4 pacing_rate 29609752bps delivery_rate 7293616bps delivered:32 busy:100ms unacked:40 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.252 
1663194412.231510 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:48583 192.168.4.1:5101 users:(("iperf3",pid=3761,fd=4)) timer:(on,916ms,0) uid:20001 ino:11950998 sk:8549 1663194412.231525 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:585086536 lastrcv:585086536 lastack:585086536 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663194412.231538 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:58491 192.168.3.1:5102 users:(("iperf3",pid=3765,fd=4)) timer:(on,920ms,0) uid:20001 ino:12003322 sk:854a 1663194412.231552 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:585086536 lastrcv:585086536 lastack:585086536 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663194412.231599 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:57519 192.168.4.1:5102 users:(("iperf3",pid=3765,fd=4)) timer:(on,920ms,0) uid:20001 ino:12003322 sk:854b 1663194412.231618 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:585086536 lastrcv:585086536 lastack:585086536 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663194412.231657 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:42003 192.168.4.1:5101 users:(("iperf3",pid=3761,fd=4)) timer:(on,916ms,0) uid:20001 ino:11950998 sk:854c 1663194412.231674 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:585086536 lastrcv:585086536 lastack:585086536 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663194412.231715 tcp   ESTAB    0      57120           192.168.10.2:54222 192.168.3.1:5102 users:(("iperf3",pid=3765,fd=4)) timer:(on,072ms,0) uid:20001 ino:12003322 sk:854d 1663194412.231729 	 ts sack reno wscale:7,7 rto:232 rtt:30.809/0.757 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:40 bytes_sent:99997 bytes_acked:42878 segs_out:74 segs_in:17 data_segs_out:71 send 14832030bps lastrcv:112 pacing_rate 29663816bps delivery_rate 7245512bps delivered:32 busy:96ms unacked:40 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.233                     
1663194412.231799 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:54501 192.168.3.1:5101 users:(("iperf3",pid=3761,fd=4)) timer:(on,916ms,0) uid:20001 ino:11950998 sk:854e 1663194412.231828 	 lia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:585086536 lastrcv:585086536 lastack:585086536 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                         
1663194412.231843 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:50087 192.168.4.1:5102 users:(("iperf3",pid=3765,fd=4)) timer:(on,916ms,0) uid:20001 ino:12003322 sk:8547 1663194412.231855 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
1663194412.231923 mptcp ESTAB    0      57120           192.168.10.2:56826 192.168.3.1:5101 users:(("iperf3",pid=3761,fd=4)) timer:(on,064ms,0) uid:20001 ino:11950998 sk:8548 1663194412.231937 	 subflows:1 add_addr_accepted_max:7 write_seq:21800000594 snd_una:28                                                                                                                                                                                                                                                                                                
1663194412.231978 mptcp SYN-SENT 0      1      192.168.10.2%enp6s0f1:48583 192.168.4.1:5101 users:(("iperf3",pid=3761,fd=4)) timer:(on,912ms,0) uid:20001 ino:11950998 sk:8549 1663194412.231992 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                          
