1663195068.226132 Connecting to host 192.168.3.1, port 5101
1663195068.226272 [  4] local 192.168.10.2 port 57196 connected to 192.168.3.1 port 5101
1663195068.226308 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663195068.226331 [  4]   0.00-0.10   sec   720 KBytes  58.8 Mbits/sec    0   5.66 KBytes       
1663195068.226353 [  4]   0.10-0.20   sec  1.19 MBytes  99.5 Mbits/sec    0   5.66 KBytes       
1663195068.226377 [  4]   0.20-0.30   sec   219 KBytes  17.9 Mbits/sec    0   5.66 KBytes       
1663195068.226400 [  4]   0.30-0.40   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663195068.226424 [  4]   0.40-0.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.226447 [  4]   0.50-0.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226471 [  4]   0.60-0.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.226495 [  4]   0.70-0.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226519 [  4]   0.80-0.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226543 [  4]   0.90-1.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226567 [  4]   1.00-1.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226591 [  4]   1.10-1.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226614 [  4]   1.20-1.30   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663195068.226638 [  4]   1.30-1.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226661 [  4]   1.40-1.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226685 [  4]   1.50-1.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226709 [  4]   1.60-1.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226732 [  4]   1.70-1.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226756 [  4]   1.80-1.90   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663195068.226779 [  4]   1.90-2.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226802 [  4]   2.00-2.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226826 [  4]   2.10-2.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226849 [  4]   2.20-2.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226873 [  4]   2.30-2.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226896 [  4]   2.40-2.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226920 [  4]   2.50-2.60   sec   126 KBytes  10.3 Mbits/sec    0   5.66 KBytes       
1663195068.226943 [  4]   2.60-2.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226967 [  4]   2.70-2.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.226990 [  4]   2.80-2.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227014 [  4]   2.90-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227037 [  4]   3.00-3.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227061 [  4]   3.10-3.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227084 [  4]   3.20-3.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227108 [  4]   3.30-3.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227131 [  4]   3.40-3.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227155 [  4]   3.50-3.60   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227179 [  4]   3.60-3.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227202 [  4]   3.70-3.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227226 [  4]   3.80-3.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227249 [  4]   3.90-4.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227273 [  4]   4.00-4.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227294 [  4]   4.10-4.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227318 [  4]   4.20-4.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227341 [  4]   4.30-4.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227365 [  4]   4.40-4.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227388 [  4]   4.50-4.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227412 [  4]   4.60-4.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195068.227435 [  4]   4.70-4.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195068.227459 [  4]   4.80-4.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654146 [  4]   4.90-5.00   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654240 [  4]   5.00-5.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654272 [  4]   5.10-5.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654294 [  4]   5.20-5.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654323 [  4]   5.30-5.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654348 [  4]   5.40-5.50   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654372 [  4]   5.50-5.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654397 [  4]   5.60-5.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654422 [  4]   5.70-5.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654446 [  4]   5.80-5.90   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654471 [  4]   5.90-6.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654496 [  4]   6.00-6.10   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654522 [  4]   6.10-6.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654547 [  4]   6.20-6.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654572 [  4]   6.30-6.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654604 [  4]   6.40-6.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654630 [  4]   6.50-6.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654654 [  4]   6.60-6.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654679 [  4]   6.70-6.80   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654704 [  4]   6.80-6.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654729 [  4]   6.90-7.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654754 [  4]   7.00-7.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654778 [  4]   7.10-7.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654804 [  4]   7.20-7.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654829 [  4]   7.30-7.40   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.654854 [  4]   7.40-7.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654879 [  4]   7.50-7.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654903 [  4]   7.60-7.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654928 [  4]   7.70-7.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654952 [  4]   7.80-7.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.654976 [  4]   7.90-8.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655001 [  4]   8.00-8.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655024 [  4]   8.10-8.20   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.655049 [  4]   8.20-8.30   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655073 [  4]   8.30-8.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655096 [  4]   8.40-8.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655120 [  4]   8.50-8.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655146 [  4]   8.60-8.70   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.655171 [  4]   8.70-8.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655195 [  4]   8.80-8.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655220 [  4]   8.90-9.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655244 [  4]   9.00-9.10   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655269 [  4]   9.10-9.20   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655293 [  4]   9.20-9.30   sec  62.8 KBytes  5.14 Mbits/sec    0   5.66 KBytes       
1663195073.655317 [  4]   9.30-9.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655342 [  4]   9.40-9.50   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655366 [  4]   9.50-9.60   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655390 [  4]   9.60-9.70   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655414 [  4]   9.70-9.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655438 [  4]   9.80-9.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655463 [  4]   9.90-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
1663195073.655487 - - - - - - - - - - - - - - - - - - - - - - - - -
1663195073.655512 [ ID] Interval           Transfer     Bandwidth       Retr
1663195073.655537 [  4]   0.00-10.00  sec  5.11 MBytes  4.28 Mbits/sec    0             sender
1663195073.655561 [  4]   0.00-10.00  sec  3.34 MBytes  2.80 Mbits/sec                  receiver
1663195073.655585 
1663195073.655637 iperf Done.
