1663197000.206321 Connecting to host 192.168.3.1, port 5101
1663197000.206473 [  4] local 192.168.10.2 port 58292 connected to 192.168.3.1 port 5101
1663197000.206509 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663197000.206533 [  4]   0.00-0.10   sec   230 KBytes  18.8 Mbits/sec    0   14.1 KBytes       
1663197000.206555 [  4]   0.10-0.20   sec   184 KBytes  15.1 Mbits/sec    0   14.1 KBytes       
1663197000.206580 [  4]   0.20-0.30   sec   951 KBytes  77.8 Mbits/sec    0   14.1 KBytes       
1663197000.206605 [  4]   0.30-0.40   sec   798 KBytes  65.4 Mbits/sec    0   14.1 KBytes       
1663197000.206630 [  4]   0.40-0.50   sec  1.02 MBytes  85.5 Mbits/sec    0   14.1 KBytes       
1663197000.206654 [  4]   0.50-0.60   sec   798 KBytes  65.1 Mbits/sec    0   14.1 KBytes       
1663197000.206678 [  4]   0.60-0.70   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.206703 [  4]   0.70-0.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206727 [  4]   0.80-0.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206751 [  4]   0.90-1.00   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.206775 [  4]   1.00-1.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206799 [  4]   1.10-1.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206824 [  4]   1.20-1.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.206848 [  4]   1.30-1.40   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206873 [  4]   1.40-1.50   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206897 [  4]   1.50-1.60   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206921 [  4]   1.60-1.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206945 [  4]   1.70-1.80   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.206969 [  4]   1.80-1.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.206993 [  4]   1.90-2.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.207017 [  4]   2.00-2.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.207041 [  4]   2.10-2.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.207066 [  4]   2.20-2.30   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.207091 [  4]   2.30-2.40   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.207115 [  4]   2.40-2.50   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.207140 [  4]   2.50-2.60   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663197000.207164 [  4]   2.60-2.70   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.207188 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.207212 [  4]   2.80-2.90   sec  61.4 KBytes  5.03 Mbits/sec    0   14.1 KBytes       
1663197000.207236 [  4]   2.90-3.00   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.207261 [  4]   3.00-3.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663197000.207285 [  4]   3.10-3.20   sec  61.4 KBytes  5.02 Mbits/sec    0   14.1 KBytes       
1663197000.207309 [  4]   3.20-3.30   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
