1663195194.274174 Connecting to host 192.168.3.1, port 5101
1663195194.274339 [  4] local 192.168.10.2 port 57268 connected to 192.168.3.1 port 5101
1663195194.274376 [ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
1663195194.274401 [  4]   0.00-0.10   sec   198 KBytes  16.2 Mbits/sec    0   14.1 KBytes       
1663195194.274424 [  4]   0.10-0.20   sec   245 KBytes  20.1 Mbits/sec    0   14.1 KBytes       
1663195194.274447 [  4]   0.20-0.30   sec   982 KBytes  80.4 Mbits/sec    0   14.1 KBytes       
1663195194.274472 [  4]   0.30-0.40   sec   982 KBytes  80.4 Mbits/sec    0   14.1 KBytes       
1663195194.274498 [  4]   0.40-0.50   sec  1.05 MBytes  87.7 Mbits/sec    0   14.1 KBytes       
1663195194.274523 [  4]   0.50-0.60   sec   215 KBytes  17.7 Mbits/sec    0   14.1 KBytes       
1663195194.274548 [  4]   0.60-0.70   sec   307 KBytes  25.1 Mbits/sec    0   14.1 KBytes       
1663195194.274573 [  4]   0.70-0.80   sec  30.7 KBytes  2.52 Mbits/sec    0   14.1 KBytes       
1663195194.274599 [  4]   0.80-0.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.274624 [  4]   0.90-1.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274651 [  4]   1.00-1.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274677 [  4]   1.10-1.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.274703 [  4]   1.20-1.30   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274728 [  4]   1.30-1.40   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274754 [  4]   1.40-1.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.274779 [  4]   1.50-1.60   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274804 [  4]   1.60-1.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274831 [  4]   1.70-1.80   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274857 [  4]   1.80-1.90   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.274883 [  4]   1.90-2.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274909 [  4]   2.00-2.10   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274936 [  4]   2.10-2.20   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.274961 [  4]   2.20-2.30   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.274988 [  4]   2.30-2.40   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.275014 [  4]   2.40-2.50   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.275040 [  4]   2.50-2.60   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.275066 [  4]   2.60-2.70   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.275092 [  4]   2.70-2.80   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.275119 [  4]   2.80-2.90   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.275145 [  4]   2.90-3.00   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.275172 [  4]   3.00-3.10   sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
1663195194.275198 [  4]   3.10-3.20   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
1663195194.275223 [  4]   3.20-3.30   sec  30.7 KBytes  2.51 Mbits/sec    0   14.1 KBytes       
